#objectKey messif.objects.keys.AbstractObjectKey 01
156; mcdr.objects.ObjectMocapPose
-0.01134647, -0.3629567, 2.005326; -0.03926826, -0.03521268, 1.975515; -0.06593598, 0.2818984, 1.930424; -0.06615315, 0.4449387, 1.90547; -0.2216555, 0.1630338, 1.866838; -0.2508053, -0.08900346, 1.778075; -0.1847714, 0.03849135, 1.623323; -0.1471967, 0.09481339, 1.593616; 0.09202202, 0.162813, 1.965816; 0.1916385, -0.03163902, 1.947247; 0.1587632, 0.1539372, 1.812598; 0.1101379, 0.2055539, 1.786251; -0.08300828, -0.3563557, 1.942222; -0.1648581, -0.7038221, 1.79136; -0.2959198, -1.109623, 1.777975; -0.2820043, -1.157668, 1.652919; 0.06065595, -0.3559326, 1.99312; 0.0906892, -0.8224952, 2.13533; 0.1227978, -1.207556, 2.297236; 0.157374, -1.284477, 2.261236; -0.0594562, 0.2041467, 1.944224; -0.1359652, 0.1205674, 1.585214; -0.1682453, 0.1326718, 1.594; 0.085607, 0.248571, 1.75079; 0.053656, 0.1517276, 1.886364
-0.00768184, -0.3638673, 2.008312; -0.03558762, -0.03783964, 1.979021; -0.06212215, 0.2772183, 1.934765; -0.06254121, 0.4397779, 1.907842; -0.2180874, 0.1615739, 1.869716; -0.2529412, -0.1022796, 1.788797; -0.188194, 0.02693569, 1.632348; -0.152501, 0.06698082, 1.597398; 0.09596243, 0.1619725, 1.969997; 0.1990025, -0.02942755, 1.950723; 0.1621767, 0.1540793, 1.815827; 0.1216289, 0.2106587, 1.791877; -0.0793522, -0.3574362, 1.945153; -0.1608435, -0.7052556, 1.795096; -0.2957488, -1.109409, 1.77938; -0.2823628, -1.157315, 1.652876; 0.06419659, -0.3566997, 1.996392; 0.09186655, -0.8245336, 2.136199; 0.1225908, -1.209431, 2.297791; 0.1582325, -1.286367, 2.261043; -0.05567797, 0.2000124, 1.948329; -0.1361423, 0.09466126, 1.58189; -0.1103873, 0.09248763, 1.603182; 0.0942028, 0.2498183, 1.76616; 0.07019897, 0.2134486, 1.81
0.001781556, -0.3703073, 2.016824; -0.02510961, -0.04980894, 1.990348; -0.05087571, 0.2591403, 1.949308; -0.05350141, 0.4233896, 1.917741; -0.2088839, 0.1502821, 1.881158; -0.2547549, -0.1270037, 1.81379; -0.187404, 0.001757167, 1.645804; -0.1495939, 0.04682266, 1.59565; 0.1116486, 0.1516695, 1.992411; 0.2611098, -0.06699654, 1.973564; 0.1849937, 0.1421946, 1.839487; 0.1307658, 0.206709, 1.808854; -0.06970884, -0.3644571, 1.953265; -0.1488894, -0.7135997, 1.805815; -0.2974771, -1.111908, 1.782572; -0.2846619, -1.159172, 1.652344; 0.07315833, -0.3625054, 2.005903; 0.100032, -0.8332792, 2.139196; 0.1198219, -1.217385, 2.301877; 0.1627233, -1.286829, 2.198459; -0.04458564, 0.1834671, 1.962044; -0.1366452, 0.06956457, 1.580338; -0.105471, 0.06511704, 1.60975; 0.09219949, 0.2479856, 1.787451; 0.09136055, 0.2026975, 1.832579
0.01311133, -0.3807924, 2.02513; -0.01368266, -0.06647512, 2.00209; -0.04000003, 0.2370213, 1.9645; -0.04113659, 0.3997961, 1.932527; -0.1855843, 0.122783, 1.8989; -0.2523082, -0.1313041, 1.811607; -0.1427139, 0.05179065, 1.609881; -0.143863, 0.02865854, 1.598032; 0.1316392, 0.1239269, 2.027941; 0.2469666, -0.05321521, 1.977306; 0.1944019, 0.1346335, 1.854324; 0.138186, 0.1981357, 1.824101; -0.0582999, -0.3747251, 1.959913; -0.13267, -0.7257833, 1.81342; -0.2915156, -1.119239, 1.788064; -0.2788647, -1.166911, 1.661159; 0.0840266, -0.3730685, 2.016701; 0.1138507, -0.8480202, 2.141262; 0.1139262, -1.229653, 2.308512; 0.1427216, -1.309635, 2.283655; -0.03351501, 0.1625873, 1.97638; -0.1343975, 0.04614277, 1.582582; -0.1053284, 0.05157729, 1.616; 0.1040137, 0.2391769, 1.804871; 0.09921276, 0.1927666, 1.8449
0.0247131, -0.3938295, 2.032293; -0.003980619, -0.08259539, 2.013339; -0.03220215, 0.2185219, 1.980259; -0.0332303, 0.3827374, 1.94638; -0.179287, 0.1098054, 1.910671; -0.2359733, -0.159983, 1.825259; -0.1613252, -0.04481475, 1.654742; -0.1366639, 0.01256998, 1.607839; 0.1378361, 0.1117793, 2.037334; 0.2510883, -0.06306216, 1.983007; 0.1997038, 0.1284793, 1.864056; 0.1460254, 0.182625, 1.843835; -0.04722275, -0.3870764, 1.966242; -0.1184756, -0.7350154, 1.816; -0.2868254, -1.131673, 1.792142; -0.2785328, -1.177203, 1.667467; 0.09563768, -0.3863686, 2.025145; 0.1204369, -0.8608811, 2.142516; 0.09407619, -1.251079, 2.305085; 0.1461563, -1.320276, 2.28108; -0.02524243, 0.1446171, 1.990957; -0.1260311, 0.03689164, 1.59528; -0.09776678, 0.03242458, 1.622143; 0.116565, 0.2243819, 1.82346; 0.105575, 0.1788812, 1.874667
0.03246965, -0.4009042, 2.037148; 0.003546251, -0.09101363, 2.020733; -0.02485931, 0.2093108, 1.990093; -0.02658557, 0.3742761, 1.956225; -0.1697666, 0.09900156, 1.923007; -0.2148554, -0.1755481, 1.836067; -0.1574746, -0.05184706, 1.66496; -0.1253436, 0.005902476, 1.622048; 0.1401325, 0.108734, 2.042544; 0.2504073, -0.06939737, 1.996143; 0.1983883, 0.1283758, 1.866794; 0.154204, 0.1661793, 1.861147; -0.03916415, -0.395779, 1.971407; -0.1070955, -0.741259, 1.819161; -0.2883246, -1.132727, 1.791362; -0.2857221, -1.174655, 1.666635; 0.1028875, -0.3918655, 2.030072; 0.1248284, -0.865315, 2.142078; 0.1009253, -1.256773, 2.303446; 0.1365699, -1.333695, 2.279034; -0.01785314, 0.1355422, 2.000196; -0.118531, 0.02980875, 1.608873; -0.08924618, 0.03274366, 1.638889; 0.1246209, 0.2076741, 1.842954; 0.1211785, 0.1583388, 1.897
0.03950524, -0.4032094, 2.041938; 0.00896299, -0.09234229, 2.027572; -0.02066058, 0.2091405, 1.99943; -0.02137509, 0.3726475, 1.966347; -0.1642701, 0.09735735, 1.932656; -0.1983083, -0.1764965, 1.838158; -0.1411068, -0.0475329, 1.671322; -0.1112341, 0.00913482, 1.638598; 0.141821, 0.1066023, 2.045766; 0.2514498, -0.07298998, 2.00897; 0.1976733, 0.1263629, 1.875194; 0.1556426, 0.1594581, 1.87006; -0.03287486, -0.3978786, 1.976367; -0.1025304, -0.7412837, 1.82112; -0.2840133, -1.132722, 1.792042; -0.282111, -1.17372, 1.666384; 0.1104132, -0.3943005, 2.034863; 0.1315952, -0.8678585, 2.143817; 0.09813146, -1.25863, 2.305507; 0.1339363, -1.335623, 2.277459; -0.01336458, 0.1350543, 2.00885; -0.1028109, 0.03476912, 1.628564; -0.07448161, 0.03192489, 1.652875; 0.1312155, 0.1989412, 1.855126; 0.1256947, 0.1489727, 1.907579
0.04431899, -0.4006833, 2.044609; 0.01425018, -0.08791182, 2.033164; -0.01503814, 0.2161176, 2.008514; -0.01464939, 0.3805404, 1.976988; -0.1618041, 0.09856591, 1.937026; -0.1674334, -0.1629219, 1.844881; -0.1180315, -0.02520028, 1.68445; -0.09550821, 0.01654457, 1.654569; 0.1417699, 0.1076185, 2.044452; 0.2508473, -0.07187418, 2.020366; 0.1961925, 0.1273793, 1.880381; 0.1552307, 0.1607593, 1.874573; -0.02891664, -0.3959669, 1.979009; -0.09861342, -0.7387189, 1.820933; -0.2808127, -1.129464, 1.792772; -0.2807648, -1.169799, 1.667229; 0.1160051, -0.3911699, 2.037625; 0.1341859, -0.8649109, 2.1477; 0.09714848, -1.256243, 2.3066; 0.1335812, -1.332751, 2.278709; -0.007805014, 0.1413535, 2.017026; -0.0877743, 0.04048135, 1.63878; -0.05980974, 0.04711377, 1.6714; 0.1310919, 0.1954724, 1.85965; 0.1234687, 0.1519994, 1.915333
0.04914184, -0.3938892, 2.047359; 0.01999535, -0.07684082, 2.039112; -0.008631279, 0.2316257, 2.017627; -0.008878342, 0.3970536, 1.989453; -0.1552802, 0.113525, 1.946957; -0.1579633, -0.1545814, 1.854456; -0.1040836, -0.01223745, 1.701157; -0.07853644, 0.02756832, 1.670988; 0.1473419, 0.1110586, 2.047251; 0.2537096, -0.06880699, 2.039295; 0.203924, 0.1229289, 1.903635; 0.1563284, 0.1711987, 1.878523; -0.02358291, -0.3867734, 1.98209; -0.09378093, -0.7302506, 1.821613; -0.2751471, -1.120432, 1.792749; -0.2754782, -1.160213, 1.665194; 0.1201326, -0.3865979, 2.039977; 0.134275, -0.8603222, 2.15626; 0.09918337, -1.288856, 2.31831; 0.16261, -1.346226, 2.267902; -0.001546175, 0.1557795, 2.025372; -0.06777634, 0.05872848, 1.655084; -0.07989289, 0.05640109, 1.677778; 0.1384216, 0.2037348, 1.861623; 0.1214302, 0.1639405, 1.912
0.05050084, -0.3831094, 2.051431; 0.0232226, -0.06167798, 2.044968; -0.003109282, 0.2503096, 2.024428; -0.002394819, 0.4153621, 1.999978; -0.1494125, 0.1255819, 1.949259; -0.1539687, -0.1460216, 1.865307; -0.06795923, 0.02007982, 1.706441; -0.05695172, 0.0498298, 1.68006; 0.1541428, 0.1307421, 2.052852; 0.2679943, -0.05518936, 2.055171; 0.203642, 0.1358112, 1.915176; 0.159693, 0.189036, 1.886553; -0.02153874, -0.3646526, 1.987972; -0.0873126, -0.7116894, 1.825305; -0.2660975, -1.101362, 1.793025; -0.2616626, -1.142, 1.65999; 0.1208296, -0.383417, 2.04225; 0.1342878, -0.8575487, 2.168437; 0.1018078, -1.287935, 2.322931; 0.1653551, -1.346272, 2.277239; 0.003363136, 0.173658, 2.031995; -0.04629335, 0.07777417, 1.664316; -0.02094679, 0.08674577, 1.702667; 0.1404397, 0.2194218, 1.869493; 0.1319088, 0.1767532, 1.921529
0.05236002, -0.3734439, 2.055388; 0.02662234, -0.05002175, 2.04979; 0.00181591, 0.2634989, 2.029791; 0.002056651, 0.4267733, 2.009948; -0.140533, 0.1362763, 1.948936; -0.1585204, -0.1326352, 1.874157; -0.07278997, 0.02110712, 1.723286; -0.04454743, 0.07017327, 1.688017; 0.1605051, 0.1443973, 2.062862; 0.2830452, -0.04327158, 2.065726; 0.2181287, 0.1547107, 1.91896; 0.1677323, 0.2098555, 1.901667; -0.01931221, -0.3552611, 1.990082; -0.08403572, -0.7048305, 1.825656; -0.2593375, -1.094793, 1.792206; -0.2506131, -1.137431, 1.658461; 0.1219691, -0.3769011, 2.047109; 0.1349439, -0.8546737, 2.173535; 0.1045293, -1.284884, 2.323469; 0.1388818, -1.354144, 2.21907; 0.007912682, 0.186504, 2.037236; -0.0283796, 0.09936268, 1.670675; -0.06770675, 0.091846, 1.69275; 0.1443362, 0.2436989, 1.885808; 0.133065, 0.2001551, 1.928632
0.05335693, -0.3675866, 2.057303; 0.02876891, -0.04405319, 2.05259; 0.005127498, 0.2695228, 2.033522; 0.006611489, 0.4328412, 2.01875; -0.1344576, 0.1416021, 1.947302; -0.1649914, -0.1198344, 1.868688; -0.07258365, 0.02689713, 1.724835; -0.04083468, 0.09261157, 1.689282; 0.1666542, 0.1674199, 2.08365; 0.2931034, -0.03312259, 2.069519; 0.2212928, 0.1705243, 1.938141; 0.1782105, 0.2286037, 1.91573; -0.01691786, -0.3480773, 1.989826; -0.08191878, -0.7002874, 1.825323; -0.2555179, -1.090158, 1.792522; -0.2410553, -1.136161, 1.659703; 0.1218106, -0.3722799, 2.051192; 0.1346605, -0.8539621, 2.17632; 0.1059491, -1.285856, 2.323367; 0.1762972, -1.339423, 2.290417; 0.01093169, 0.1925228, 2.040724; -0.01873319, 0.1233087, 1.674012; -0.03496522, 0.1138857, 1.6982; 0.1491823, 0.2640089, 1.899358; 0.1412625, 0.22172, 1.938632
0.0538873, -0.3666414, 2.05766; 0.02897469, -0.0437924, 2.052907; 0.005174056, 0.2694946, 2.033762; 0.01140401, 0.4334311, 2.027756; -0.1332714, 0.1424033, 1.946558; -0.1672451, -0.08648676, 1.827118; -0.07137297, 0.04380457, 1.725825; -0.04226129, 0.1120663, 1.683576; 0.1669084, 0.1661413, 2.084944; 0.2987164, -0.03156204, 2.069716; 0.2292954, 0.1769745, 1.956055; 0.1905975, 0.2395367, 1.931791; -0.01547979, -0.3466531, 1.988371; -0.08091756, -0.7007511, 1.823187; -0.2532179, -1.090677, 1.794425; -0.2390835, -1.138367, 1.663231; 0.1219264, -0.3711946, 2.053531; 0.1343153, -0.8559024, 2.178197; 0.1050765, -1.285909, 2.323862; 0.1752418, -1.339775, 2.291291; 0.01100284, 0.1925476, 2.040971; -0.01549722, 0.143996, 1.667537; 0.002294504, 0.1508233, 1.683833; 0.1673319, 0.2781076, 1.908573; 0.1438114, 0.2371879, 1.957625
