#objectKey messif.objects.keys.AbstractObjectKey 01
120; mcdr.objects.ObjectMocapPose
-0.4800208, -0.3314683, 1.890838; -0.4529659, 0.03236669, 1.855335; -0.4231411, 0.3849252, 1.806207; -0.4229632, 0.523288, 1.831121; -0.5699731, 0.2664059, 1.674264; -0.534183, 0.0844627, 1.548732; -0.4201999, 0.2485812, 1.551127; -0.3946335, 0.297336, 1.558089; -0.3098429, 0.3045743, 1.789312; -0.2467073, 0.06692789, 1.833464; -0.2145576, 0.1919135, 1.676478; -0.2675632, 0.2754799, 1.702588; -0.5314269, -0.3347422, 1.817629; -0.5195591, -0.4622422, 1.583227; -0.5605611, -0.875549, 1.50327; -0.5119278, -0.906941, 1.387864; -0.4122472, -0.3168586, 1.899288; -0.3399568, -0.6302929, 1.877999; -0.3817042, -1.012594, 2.026178; -0.3666992, -0.9130859, 1.942383; -0.431043, 0.2984375, 1.820648; -0.37049, 0.3432638, 1.567741; -0.4307925, 0.3172768, 1.570273; -0.2686264, 0.2996635, 1.674032; -0.2610531, 0.2537197, 1.7036
-0.4694117, -0.2841481, 1.921464; -0.4377935, 0.07144577, 1.881969; -0.4040408, 0.4155467, 1.827646; -0.4240004, 0.5780553, 1.84376; -0.5704173, 0.3112439, 1.673142; -0.5334599, 0.1381102, 1.547433; -0.4143463, 0.2881782, 1.554264; -0.4049246, 0.3490342, 1.559794; -0.3156194, 0.3164388, 1.809122; -0.2457157, 0.09605355, 1.838019; -0.2543415, 0.2609371, 1.732642; -0.2816034, 0.3218331, 1.727365; -0.5176333, -0.2810602, 1.843282; -0.5304046, -0.4478573, 1.595285; -0.5580881, -0.8259334, 1.518661; -0.5021763, -0.8574609, 1.401929; -0.404587, -0.2807446, 1.924979; -0.3535714, -0.613021, 1.902065; -0.4035699, -0.8801482, 1.986837; -0.3522537, -0.9137572, 1.867785; -0.4129249, 0.3311859, 1.843569; -0.3855477, 0.4062092, 1.567837; -0.4376768, 0.3633375, 1.564667; -0.2875076, 0.3771909, 1.691148; -0.31863, 0.3303312, 1.738667
-0.4804057, -0.1769468, 1.867198; -0.4445724, 0.1505654, 1.854104; -0.406437, 0.4630672, 1.826924; -0.4179787, 0.6032343, 1.847014; -0.5696274, 0.3419501, 1.667491; -0.5441551, 0.160737, 1.555185; -0.4400427, 0.3116822, 1.537788; -0.419164, 0.3971873, 1.55943; -0.3085977, 0.3245604, 1.809996; -0.2443658, 0.1518256, 1.838348; -0.261925, 0.3153503, 1.751325; -0.2997372, 0.3835281, 1.731233; -0.5293309, -0.1701121, 1.789194; -0.5348635, -0.4944348, 1.622168; -0.5636958, -0.8290207, 1.531562; -0.5106309, -0.8533158, 1.421531; -0.4127025, -0.176831, 1.871849; -0.3765575, -0.5430857, 1.906136; -0.4483603, -0.8679223, 2.005953; -0.4036753, -0.9539704, 2.008857; -0.4164374, 0.3882437, 1.836006; -0.3828243, 0.4528392, 1.564707; -0.459551, 0.4137922, 1.58075; -0.310992, 0.4303573, 1.703955; -0.335032, 0.3790898, 1.7556
-0.4831387, -0.1629198, 1.867572; -0.4491896, 0.1648887, 1.853731; -0.4135481, 0.4798416, 1.825731; -0.4135473, 0.6242721, 1.846284; -0.5795388, 0.3825801, 1.657761; -0.5400549, 0.2194441, 1.533736; -0.4329303, 0.405423, 1.550322; -0.4264761, 0.4579838, 1.564068; -0.3063833, 0.3262236, 1.833415; -0.2407238, 0.1605442, 1.840285; -0.2581345, 0.3329546, 1.757511; -0.3089455, 0.4346255, 1.725347; -0.530189, -0.1469751, 1.790815; -0.5433912, -0.4804096, 1.617208; -0.5684139, -0.8315698, 1.536623; -0.5086882, -0.8573134, 1.42767; -0.4162267, -0.169586, 1.871316; -0.3866709, -0.5511513, 1.924886; -0.4369161, -0.8125478, 1.996561; -0.3813019, -0.8413794, 1.884955; -0.4225543, 0.4028254, 1.835091; -0.4131161, 0.5125034, 1.576663; -0.4699217, 0.4513881, 1.573579; -0.3335749, 0.4729459, 1.717469; -0.3442498, 0.4422927, 1.715688
-0.4870003, -0.1437392, 1.867234; -0.4528548, 0.1834368, 1.854965; -0.4166795, 0.497297, 1.828678; -0.412783, 0.6402667, 1.845708; -0.5768254, 0.3970566, 1.657819; -0.5415798, 0.2288392, 1.532912; -0.4372421, 0.4046701, 1.548228; -0.4314028, 0.4789805, 1.564704; -0.3077085, 0.3667012, 1.836765; -0.2437993, 0.201921, 1.840099; -0.3019336, 0.3837194, 1.747691; -0.317823, 0.4522759, 1.739568; -0.5336331, -0.1333857, 1.792326; -0.5482659, -0.4770635, 1.613751; -0.5964391, -0.8327312, 1.541146; -0.5321735, -0.8608067, 1.428795; -0.4206081, -0.1479834, 1.868181; -0.3901649, -0.5414817, 1.93314; -0.4263204, -0.8022532, 2.004621; -0.366839, -0.8335089, 1.889369; -0.4260158, 0.4207217, 1.83758; -0.4159494, 0.5389642, 1.581438; -0.4594277, 0.5082234, 1.502167; -0.3384636, 0.4981009, 1.728481; -0.3596269, 0.4493129, 1.780312
-0.4894814, -0.1325279, 1.866574; -0.4529426, 0.1851297, 1.854759; -0.416163, 0.4966768, 1.828698; -0.4131317, 0.6499035, 1.847711; -0.5773122, 0.402458, 1.659488; -0.5376314, 0.2500801, 1.533352; -0.4444461, 0.4017284, 1.546681; -0.4315617, 0.4833256, 1.571119; -0.3084964, 0.3432763, 1.849026; -0.2369115, 0.1872872, 1.841773; -0.2974162, 0.3868918, 1.74818; -0.3161752, 0.4573895, 1.737388; -0.5366432, -0.1132656, 1.792644; -0.5497612, -0.4721981, 1.613308; -0.6011648, -0.8340714, 1.542483; -0.5353665, -0.8620521, 1.432406; -0.422562, -0.1434472, 1.86729; -0.3907678, -0.5460602, 1.939198; -0.446296, -0.8652881, 2.03936; -0.3852052, -0.8957576, 1.926672; -0.4258191, 0.4206094, 1.837482; -0.4172317, 0.5448977, 1.582661; -0.4779744, 0.4591096, 1.5735; -0.3366797, 0.5056421, 1.727091; -0.3583413, 0.4483331, 1.788496
-0.4896414, -0.1297596, 1.865582; -0.4528098, 0.1885688, 1.854342; -0.4155414, 0.4980379, 1.828932; -0.4148245, 0.654615, 1.847626; -0.5767323, 0.4037702, 1.659851; -0.5375314, 0.2498126, 1.533317; -0.4371203, 0.4385807, 1.56253; -0.4272959, 0.4838056, 1.575117; -0.3090786, 0.3400215, 1.849554; -0.2430531, 0.1853787, 1.845491; -0.2953678, 0.3818814, 1.750265; -0.3136999, 0.4539726, 1.729094; -0.5366675, -0.1106216, 1.792571; -0.5499177, -0.4711977, 1.613262; -0.6048894, -0.8359403, 1.543893; -0.5391204, -0.8637191, 1.43437; -0.4229721, -0.1415795, 1.865497; -0.3907052, -0.5513474, 1.94054; -0.4549689, -0.8718337, 2.045055; -0.4160534, -0.9670772, 2.052194; -0.4252664, 0.422367, 1.837592; -0.4176028, 0.5375393, 1.589441; -0.4683267, 0.5010891, 1.54625; -0.3350982, 0.5015734, 1.726757; -0.357476, 0.4520184, 1.775288
-0.4894798, -0.1296027, 1.865543; -0.4527051, 0.1887219, 1.854264; -0.4154109, 0.4979727, 1.828866; -0.4165083, 0.654139, 1.848545; -0.5766615, 0.4032703, 1.660348; -0.5665739, 0.2014207, 1.58441; -0.4558981, 0.3947885, 1.573035; -0.4287976, 0.4516177, 1.574423; -0.3105727, 0.3371791, 1.849323; -0.2616291, 0.1533935, 1.860345; -0.2912718, 0.3533521, 1.760103; -0.314397, 0.4436489, 1.727153; -0.536549, -0.1105244, 1.792821; -0.5498686, -0.4713011, 1.613423; -0.6101917, -0.8393478, 1.547817; -0.5446381, -0.866886, 1.438876; -0.4228341, -0.141511, 1.86534; -0.3902237, -0.5569191, 1.941677; -0.4647513, -0.8804314, 2.05127; -0.4283013, -0.9741809, 2.062005; -0.4251618, 0.4223515, 1.837514; -0.4142173, 0.510178, 1.580557; -0.4537931, 0.468486, 1.535143; -0.3384686, 0.4856305, 1.736654; -0.36236, 0.4500473, 1.778996
-0.4867228, -0.1374087, 1.869072; -0.4515857, 0.1852672, 1.855484; -0.4146838, 0.4956424, 1.829023; -0.4211104, 0.6433062, 1.850487; -0.5755219, 0.3976929, 1.664004; -0.5642194, 0.1952552, 1.582647; -0.4492836, 0.3868993, 1.575137; -0.423655, 0.420938, 1.574921; -0.3114123, 0.3310066, 1.845219; -0.2639264, 0.147587, 1.858019; -0.2708026, 0.3309534, 1.736701; -0.2931371, 0.3839027, 1.720337; -0.5350179, -0.1192815, 1.797258; -0.5491878, -0.4751157, 1.614483; -0.611781, -0.8397696, 1.549374; -0.5478742, -0.8669974, 1.440151; -0.4189451, -0.1496798, 1.868111; -0.3892855, -0.5664569, 1.939627; -0.4656001, -0.8815315, 2.050864; -0.4062744, -0.9111127, 1.939093; -0.4243539, 0.4198396, 1.837891; -0.3824707, 0.4576153, 1.575336; -0.4538648, 0.4544994, 1.573829; -0.2964477, 0.4280903, 1.693196; -0.3336052, 0.3899262, 1.751391
-0.4832011, -0.1906879, 1.879906; -0.4481062, 0.138265, 1.861692; -0.4107562, 0.4539757, 1.829859; -0.4261203, 0.5940133, 1.851892; -0.5807918, 0.3314493, 1.685455; -0.5602536, 0.1652859, 1.57007; -0.4362888, 0.3526936, 1.572905; -0.4215949, 0.3940091, 1.574982; -0.3157186, 0.3330366, 1.810784; -0.2694728, 0.1223088, 1.849346; -0.2695463, 0.3195371, 1.733885; -0.2925364, 0.3494575, 1.718348; -0.5400993, -0.1797118, 1.812283; -0.5481811, -0.4922431, 1.614326; -0.6118152, -0.8398165, 1.54932; -0.5614507, -0.8657036, 1.43477; -0.4088291, -0.1890683, 1.873483; -0.3876517, -0.5908636, 1.931491; -0.4671636, -0.8860323, 2.044727; -0.4213492, -0.9141815, 1.927676; -0.4205077, 0.3769642, 1.84009; -0.4165175, 0.4411303, 1.577676; -0.4757732, 0.4053781, 1.617571; -0.2911171, 0.3895821, 1.695041; -0.3348115, 0.3607063, 1.747667
