#objectKey messif.objects.keys.AbstractObjectKey karate-cover-user1-6
133; mcdr.objects.ObjectMocapPose
0.1115698, 0.0003090648, 2.304519; 0.1186476, 0.3136712, 2.239389; 0.1248186, 0.6165894, 2.161518; 0.1437967, 0.7737579, 2.111849; -0.05477392, 0.5151253, 2.219439; -0.123657, 0.3145202, 2.276802; -0.05053937, 0.2350879, 2.020823; -0.04470558, 0.2230988, 1.965963; 0.2900054, 0.5052813, 2.162733; 0.3491692, 0.2603686, 2.154778; 0.3020132, 0.3308057, 1.941089; 0.2701191, 0.3627105, 1.87881; 0.03106737, 0.00259954, 2.274009; -0.07327379, -0.4145097, 2.252121; -0.1502727, -0.7988138, 2.347571; -0.1732967, -0.8750575, 2.270794; 0.188451, -0.001991746, 2.260031; 0.2566728, -0.4000556, 2.169069; 0.3347378, -0.8223335, 2.266475; 0.3521719, -0.8849668, 2.197102; 0.1234326, 0.5424243, 2.183216; -0.03889713, 0.2181605, 1.943349; -0.002693312, 0.219284, 1.971182; 0.26145, 0.3710794, 1.859362; 0.2289278, 0.3725594, 1.8913
0.1120687, 0.002905805, 2.303048; 0.1198791, 0.3191514, 2.239033; 0.1270975, 0.6255749, 2.162925; 0.1484448, 0.7866248, 2.118868; -0.05336131, 0.5239317, 2.220046; -0.1257853, 0.3229103, 2.2738; -0.0484512, 0.2559209, 2.014557; -0.04561724, 0.2485568, 1.962377; 0.2871342, 0.5113568, 2.161366; 0.3523624, 0.263867, 2.154927; 0.3097706, 0.345169, 1.93858; 0.2858913, 0.3950536, 1.871135; 0.03162676, 0.005596567, 2.272513; -0.06877703, -0.4163462, 2.264037; -0.1468146, -0.7975783, 2.34916; -0.1732058, -0.8755645, 2.270806; 0.1888637, 0.0001709964, 2.258207; 0.2612573, -0.4010278, 2.173352; 0.334822, -0.8201411, 2.267047; 0.3517699, -0.8840038, 2.197512; 0.1254302, 0.5505278, 2.184115; -0.04338967, 0.2386119, 1.941943; -0.002698752, 0.2423637, 1.973; 0.2782721, 0.4079452, 1.85094; 0.2448983, 0.416629, 1.882
0.1133548, 0.005833096, 2.299834; 0.1214625, 0.323563, 2.238393; 0.1290708, 0.6314872, 2.164419; 0.1525666, 0.7941513, 2.126303; -0.05145926, 0.5293968, 2.220852; -0.1311317, 0.3352664, 2.275914; -0.05818153, 0.2667854, 2.015958; -0.05303458, 0.2572644, 1.954769; 0.2842634, 0.513105, 2.160651; 0.3591113, 0.2716837, 2.14117; 0.3203443, 0.3598987, 1.929987; 0.2957246, 0.4137511, 1.862749; 0.03327468, 0.00974256, 2.269241; -0.0665037, -0.416076, 2.269619; -0.1439254, -0.796482, 2.349062; -0.1736018, -0.8759507, 2.270249; 0.1897971, 0.001962527, 2.254734; 0.2651582, -0.4026886, 2.175642; 0.3351391, -0.8199396, 2.267772; 0.3528107, -0.8840261, 2.195341; 0.1272998, 0.5560674, 2.185063; -0.05400703, 0.2439721, 1.935651; -0.04209772, 0.2881018, 1.936105; 0.2901738, 0.4286134, 1.842832; 0.2545223, 0.4294029, 1.8807
0.1143405, 0.007096956, 2.297448; 0.1223885, 0.3250152, 2.238294; 0.1301681, 0.6333236, 2.165921; 0.154936, 0.7962906, 2.130028; -0.05077364, 0.5298452, 2.221493; -0.132871, 0.3292014, 2.260366; -0.060651, 0.2624027, 1.994843; -0.06392836, 0.2511761, 1.947348; 0.2833084, 0.5108023, 2.160133; 0.381299, 0.2552648, 2.092651; 0.3305603, 0.3614059, 1.917516; 0.2977066, 0.4123076, 1.85394; 0.03457337, 0.01174612, 2.266934; -0.06655481, -0.4146397, 2.269396; -0.1418291, -0.794845, 2.347475; -0.1744746, -0.8775043, 2.266778; 0.1904478, 0.002474405, 2.252106; 0.2670274, -0.4025538, 2.170005; 0.3356205, -0.8198586, 2.269428; 0.3526562, -0.8837654, 2.19547; 0.1283119, 0.5578013, 2.18613; -0.0572384, 0.2392431, 1.928095; -0.02611061, 0.2556851, 1.943572; 0.2890946, 0.4359066, 1.837909; 0.2562585, 0.4255997, 1.870333
0.1141763, 0.005201757, 2.294668; 0.12282, 0.3231424, 2.237382; 0.1311592, 0.6304291, 2.166296; 0.1562152, 0.7925289, 2.130661; -0.04931154, 0.5250775, 2.221442; -0.1294326, 0.33076, 2.259792; -0.06537229, 0.2595368, 1.990385; -0.07271318, 0.2382678, 1.942766; 0.2828647, 0.5086205, 2.159544; 0.3809683, 0.2494395, 2.095333; 0.327108, 0.3567221, 1.917777; 0.2933925, 0.39146, 1.851678; 0.03432444, 0.007375067, 2.263844; -0.07123315, -0.4134644, 2.254647; -0.1431001, -0.7961756, 2.346851; -0.1753248, -0.8782719, 2.264874; 0.190257, 0.002054239, 2.249533; 0.2667137, -0.4025435, 2.15745; 0.3358967, -0.8193382, 2.269341; 0.3523391, -0.8831159, 2.197415; 0.1291204, 0.5553091, 2.18616; -0.07535809, 0.223678, 1.923957; -0.03408758, 0.2327467, 1.94725; 0.2819281, 0.4141182, 1.83628; 0.2605985, 0.416161, 1.862417
0.1146206, -0.002274243, 2.290782; 0.1234685, 0.3133925, 2.234335; 0.1315925, 0.6173085, 2.164781; 0.1560218, 0.7772657, 2.125402; -0.04795343, 0.5152876, 2.222343; -0.1269485, 0.3250198, 2.259515; -0.07162783, 0.2495018, 1.986511; -0.07869216, 0.2261448, 1.941499; 0.2842907, 0.5065081, 2.159642; 0.3767731, 0.2402381, 2.108185; 0.3204655, 0.3341441, 1.922708; 0.2839706, 0.3612943, 1.855014; 0.03501507, -0.001688939, 2.260725; -0.07800844, -0.4204972, 2.235028; -0.1459914, -0.7964216, 2.342459; -0.175281, -0.8781307, 2.264536; 0.1904658, -0.003248694, 2.245138; 0.2650894, -0.4033969, 2.14338; 0.3354349, -0.821178, 2.267819; 0.3519322, -0.8829026, 2.197375; 0.1296877, 0.5430543, 2.184321; -0.07729332, 0.2071777, 1.921682; -0.05134823, 0.2434914, 1.9212; 0.269557, 0.3767452, 1.838105; 0.2421408, 0.3716266, 1.867833
0.1147097, -0.008453461, 2.287432; 0.1234436, 0.3051728, 2.231358; 0.1312519, 0.6070762, 2.162464; 0.1540558, 0.7677377, 2.119862; -0.04750018, 0.5062108, 2.222097; -0.1221669, 0.3168227, 2.265061; -0.07809748, 0.2384128, 1.988687; -0.08001693, 0.2155641, 1.945021; 0.290303, 0.4955679, 2.158505; 0.3782531, 0.2242018, 2.120079; 0.3176136, 0.3094467, 1.924714; 0.2769742, 0.3357246, 1.859404; 0.0351483, -0.008169398, 2.257737; -0.07956189, -0.4264079, 2.224591; -0.1469223, -0.8004481, 2.341808; -0.1748381, -0.8782018, 2.264055; 0.1905033, -0.008651006, 2.241585; 0.2610259, -0.4026778, 2.134845; 0.3342212, -0.8217738, 2.264907; 0.3519379, -0.8830451, 2.194022; 0.1294551, 0.5332906, 2.181878; -0.07635174, 0.2032977, 1.925596; -0.04623215, 0.2259143, 1.932; 0.262786, 0.3532939, 1.843472; 0.2333227, 0.3412355, 1.878714
0.1138528, -0.009310217, 2.285081; 0.1227721, 0.3046934, 2.22961; 0.1306968, 0.6070137, 2.161223; 0.1529153, 0.7674716, 2.11803; -0.04803444, 0.5060295, 2.22217; -0.1168526, 0.3152492, 2.267184; -0.07771771, 0.2302364, 1.992275; -0.07633935, 0.2205789, 1.95393; 0.2917603, 0.4935295, 2.157847; 0.3800811, 0.2216732, 2.142254; 0.3144365, 0.3045766, 1.929748; 0.2761445, 0.3360204, 1.86675; 0.03454266, -0.009035385, 2.255777; -0.08212649, -0.433344, 2.221946; -0.1476744, -0.8029085, 2.34128; -0.1748207, -0.8793504, 2.263708; 0.1893895, -0.009389505, 2.238876; 0.2597064, -0.4025637, 2.135329; 0.333893, -0.8220583, 2.263379; 0.352011, -0.8829773, 2.190869; 0.128883, 0.5331168, 2.180541; -0.07202464, 0.2073701, 1.932685; -0.03708297, 0.2140478, 1.956555; 0.2668968, 0.350819, 1.850095; 0.2326859, 0.3412819, 1.881059
0.1132576, -0.005848696, 2.282683; 0.1210459, 0.3110843, 2.227119; 0.127328, 0.6174418, 2.158844; 0.1487567, 0.7765986, 2.117087; -0.05051942, 0.5130011, 2.221053; -0.1163144, 0.3250735, 2.274477; -0.07119916, 0.244777, 2.000193; -0.07201414, 0.2400129, 1.961054; 0.2898098, 0.5002269, 2.155211; 0.3762234, 0.2288571, 2.142932; 0.3147461, 0.3131201, 1.940765; 0.2787948, 0.3580547, 1.872268; 0.03443742, -0.006174095, 2.253563; -0.0765932, -0.4308112, 2.229343; -0.1476809, -0.8024908, 2.341407; -0.174972, -0.879605, 2.264042; 0.1882714, -0.005275642, 2.23621; 0.262112, -0.4036717, 2.143908; 0.3339998, -0.8219126, 2.263591; 0.3516068, -0.882809, 2.192532; 0.1259709, 0.5424318, 2.178122; -0.07157438, 0.2259302, 1.943051; -0.03924879, 0.2516166, 1.9459; 0.2692439, 0.3721399, 1.853886; 0.2345399, 0.372807, 1.895
0.1110719, 0.0006876359, 2.28071; 0.1173405, 0.3210769, 2.225261; 0.1222421, 0.630472, 2.157345; 0.1428739, 0.7913786, 2.121532; -0.05455564, 0.5235348, 2.219253; -0.1238422, 0.3291214, 2.270479; -0.07022771, 0.2552878, 1.995301; -0.07383949, 0.2561123, 1.96339; 0.2833806, 0.5095821, 2.152359; 0.3697785, 0.2374564, 2.13394; 0.3107007, 0.3428771, 1.943875; 0.2821178, 0.3801708, 1.871686; 0.03269834, -0.0004086269, 2.252303; -0.07052263, -0.4297549, 2.245192; -0.1453008, -0.8003745, 2.343377; -0.1742607, -0.8800694, 2.264481; 0.1857167, 0.001811852, 2.233425; 0.2656033, -0.4047, 2.157838; 0.3345391, -0.8208558, 2.265797; 0.3515911, -0.882489, 2.193506; 0.1212024, 0.5547668, 2.176523; -0.07077315, 0.240305, 1.944286; -0.06474581, 0.285567, 1.943714; 0.2725027, 0.3974964, 1.855052; 0.2388513, 0.3883625, 1.888857
0.1086035, 0.003326946, 2.279673; 0.1136311, 0.3246766, 2.224538; 0.1173559, 0.6346347, 2.156963; 0.136285, 0.7974215, 2.125725; -0.05974638, 0.5264714, 2.21772; -0.1353274, 0.3317736, 2.267346; -0.07415154, 0.2619439, 1.993696; -0.08405085, 0.2550468, 1.954407; 0.2773573, 0.5130947, 2.15091; 0.3625778, 0.2431496, 2.1165; 0.3093215, 0.3409892, 1.931957; 0.2800328, 0.382769, 1.862016; 0.03020103, 0.001732143, 2.251026; -0.06852198, -0.4235261, 2.251475; -0.1427235, -0.7977193, 2.343298; -0.174708, -0.8805916, 2.263531; 0.1833615, 0.004884724, 2.232594; 0.2656996, -0.4024742, 2.158937; 0.3346997, -0.8196814, 2.265914; 0.3500273, -0.8810216, 2.199023; 0.1166011, 0.5588263, 2.17606; -0.07166019, 0.2476671, 1.931516; -0.04815521, 0.2663689, 1.944833; 0.2717017, 0.4027961, 1.845014; 0.2380726, 0.3886175, 1.878573
0.1053126, 0.001978856, 2.279658; 0.1071775, 0.3219865, 2.224967; 0.1070619, 0.6300188, 2.157834; 0.1247925, 0.7928985, 2.130382; -0.07132117, 0.5190911, 2.217466; -0.1432208, 0.3264554, 2.263276; -0.09807651, 0.2463308, 1.989071; -0.09950379, 0.2348322, 1.942922; 0.2706196, 0.510767, 2.150715; 0.3605896, 0.2415007, 2.111606; 0.3074943, 0.3333836, 1.923608; 0.2724046, 0.366811, 1.852081; 0.02642637, 0.0001085613, 2.250612; -0.07808059, -0.4172858, 2.23816; -0.1427224, -0.7970567, 2.342135; -0.1750614, -0.8808166, 2.264045; 0.1806034, 0.003790774, 2.232869; 0.257765, -0.3898512, 2.148042; 0.3345688, -0.8200116, 2.266043; 0.3522596, -0.8829567, 2.195318; 0.1073131, 0.554738, 2.176832; -0.09737846, 0.2204602, 1.923359; -0.05941931, 0.2334582, 1.9445; 0.2651071, 0.3806436, 1.834301; 0.2312901, 0.3791863, 1.869182
0.09724186, -0.01262415, 2.278083; 0.09567168, 0.3041768, 2.22573; 0.09280309, 0.6090965, 2.161024; 0.1055511, 0.7701454, 2.133079; -0.08794842, 0.4914311, 2.219586; -0.1518186, 0.3008213, 2.265826; -0.1113163, 0.2269559, 1.989447; -0.1137978, 0.2072588, 1.93082; 0.2567382, 0.4914335, 2.153474; 0.3556593, 0.2265245, 2.107708; 0.3003891, 0.316543, 1.91937; 0.2603804, 0.3412683, 1.848011; 0.01758186, -0.01447466, 2.249436; -0.09395941, -0.4022751, 2.201311; -0.1484918, -0.7927004, 2.334629; -0.1763771, -0.8807064, 2.262488; 0.1736232, -0.01035352, 2.230958; 0.2471306, -0.3812223, 2.130817; 0.33409, -0.8204229, 2.263453; 0.3533159, -0.8841778, 2.193615; 0.09367014, 0.534557, 2.17941; -0.1152009, 0.1920116, 1.911023; -0.08530924, 0.2234978, 1.911772; 0.251238, 0.3567369, 1.831886; 0.2179086, 0.3421813, 1.858667
0.09217799, -0.02970774, 2.27453; 0.08770978, 0.2855651, 2.226379; 0.08221135, 0.588944, 2.165843; 0.09024386, 0.7492653, 2.134396; -0.09854262, 0.4673098, 2.22298; -0.1617262, 0.2751869, 2.264143; -0.1263911, 0.2084809, 2.000571; -0.1226949, 0.1834053, 1.920491; 0.2494934, 0.4791983, 2.156358; 0.3446226, 0.2139844, 2.104062; 0.2627086, 0.3221743, 1.871669; 0.2448386, 0.322977, 1.852733; 0.0119045, -0.03239746, 2.246148; -0.101807, -0.4035511, 2.180866; -0.151677, -0.7990656, 2.3325; -0.1788718, -0.8807511, 2.258813; 0.169342, -0.02607434, 2.227231; 0.2379313, -0.3846906, 2.114372; 0.3315094, -0.8196937, 2.258103; 0.3534389, -0.8842227, 2.189731; 0.08370787, 0.5147627, 2.183188; -0.1210452, 0.1735576, 1.898203; -0.08823349, 0.1927956, 1.911286; 0.2328522, 0.3391986, 1.836946; 0.2012033, 0.325108, 1.871167
0.09086382, -0.03412852, 2.272775; 0.08530232, 0.2808727, 2.226535; 0.07843549, 0.5837044, 2.167906; 0.08061098, 0.7434623, 2.135645; -0.1033367, 0.4604214, 2.225002; -0.1622264, 0.2652522, 2.260621; -0.1282004, 0.2023561, 1.995453; -0.1256777, 0.1824065, 1.918872; 0.2440917, 0.4764251, 2.16018; 0.3364907, 0.2095769, 2.112568; 0.241114, 0.3197543, 1.871539; 0.2306795, 0.3257082, 1.861332; 0.01011635, -0.03733577, 2.244911; -0.1040186, -0.4096965, 2.174349; -0.1542678, -0.7981576, 2.329019; -0.179682, -0.8804631, 2.25537; 0.1685398, -0.03001231, 2.224913; 0.2328354, -0.3937016, 2.110688; 0.329711, -0.8202631, 2.255408; 0.3545374, -0.8855965, 2.187109; 0.08032426, 0.5096547, 2.184732; -0.1225212, 0.1721498, 1.89824; -0.09637585, 0.1993759, 1.902473; 0.2198467, 0.3427945, 1.845172; 0.1864322, 0.3253528, 1.876125
0.08690304, -0.03019099, 2.269426; 0.07953514, 0.2877787, 2.224558; 0.07079574, 0.5948021, 2.167299; 0.07119519, 0.755868, 2.137869; -0.1086448, 0.4668931, 2.223979; -0.1586575, 0.267904, 2.255066; -0.1289331, 0.2113507, 1.973427; -0.1202263, 0.2075365, 1.927291; 0.2360381, 0.4871876, 2.163343; 0.3311134, 0.2194507, 2.141283; 0.2636912, 0.3098532, 1.93868; 0.2256134, 0.355133, 1.871981; 0.006780208, -0.03396595, 2.241815; -0.1035594, -0.4189075, 2.179526; -0.1532986, -0.8003558, 2.328643; -0.1804029, -0.8809494, 2.255133; 0.1640662, -0.02546879, 2.221357; 0.2331455, -0.3981268, 2.117868; 0.3294905, -0.8205436, 2.255287; 0.3539857, -0.885155, 2.187068; 0.07310933, 0.5196292, 2.18379; -0.1190406, 0.1930433, 1.906841; -0.1192665, 0.2395541, 1.913588; 0.2150573, 0.3675036, 1.855407; 0.1842565, 0.3599475, 1.880833
0.08104768, -0.01175392, 2.268406; 0.07190192, 0.3089888, 2.222701; 0.06226749, 0.6180209, 2.164239; 0.06385337, 0.7809764, 2.139292; -0.1158314, 0.4939232, 2.219491; -0.1687105, 0.2188643, 2.190878; -0.1152175, 0.2277484, 1.940205; -0.1125776, 0.2341607, 1.933884; 0.2235331, 0.5107694, 2.157658; 0.3271954, 0.2456563, 2.140216; 0.268928, 0.3452089, 1.943243; 0.2307304, 0.396011, 1.878204; 0.002792649, -0.01689967, 2.239006; -0.09663322, -0.4238278, 2.202341; -0.151781, -0.801722, 2.331071; -0.1803198, -0.8809645, 2.254553; 0.1564317, -0.006001781, 2.222262; 0.239014, -0.3969676, 2.136105; 0.3298293, -0.8200629, 2.257419; 0.3538236, -0.884881, 2.187617; 0.06473195, 0.5424391, 2.181086; -0.1040798, 0.2334215, 1.913763; -0.1139495, 0.2716194, 1.929; 0.2186459, 0.4112778, 1.860041; 0.1879258, 0.4032505, 1.893
0.07944133, 0.003463166, 2.270302; 0.06854464, 0.3257524, 2.223045; 0.05726891, 0.636327, 2.162889; 0.05957412, 0.8000847, 2.139031; -0.1186731, 0.5100819, 2.213816; -0.1684832, 0.311362, 2.249234; -0.1077641, 0.2577443, 1.971458; -0.1025587, 0.2478564, 1.940125; 0.2144727, 0.5247651, 2.155272; 0.3291335, 0.2639895, 2.137488; 0.2672393, 0.3774453, 1.945597; 0.2378979, 0.4321576, 1.879305; 0.001881788, -0.002374166, 2.240401; -0.08821745, -0.4178952, 2.22983; -0.1502735, -0.7955923, 2.334262; -0.1800768, -0.8795437, 2.258084; 0.154288, 0.009215257, 2.224598; 0.2462015, -0.3896156, 2.150361; 0.3312022, -0.8196747, 2.261203; 0.3527395, -0.8844221, 2.1933; 0.0601363, 0.5603745, 2.180172; -0.1034662, 0.2277535, 1.924692; -0.06429589, 0.2570934, 1.937917; 0.2302533, 0.4515903, 1.861674; 0.1938841, 0.445221, 1.893667
0.07857972, 0.008526362, 2.273633; 0.0677617, 0.3302894, 2.222803; 0.05641488, 0.6416981, 2.159191; 0.05679594, 0.8062131, 2.137249; -0.1210636, 0.5149984, 2.210895; -0.1704123, 0.3131291, 2.248476; -0.1060292, 0.25545, 1.971998; -0.09458736, 0.2384022, 1.939731; 0.2125068, 0.5256621, 2.153252; 0.3343665, 0.2678711, 2.134133; 0.2696993, 0.391091, 1.943616; 0.244323, 0.4439164, 1.876893; 0.001116046, 0.002344699, 2.243161; -0.0818808, -0.4192331, 2.249622; -0.1486874, -0.7959146, 2.338032; -0.179952, -0.8795365, 2.257969; 0.1534011, 0.01446034, 2.228503; 0.249985, -0.3839908, 2.156559; 0.3321101, -0.8182456, 2.263658; 0.3530235, -0.8841436, 2.194111; 0.05930773, 0.5654445, 2.17748; -0.09461834, 0.2210345, 1.920479; -0.05356357, 0.2445792, 1.9446; 0.2364795, 0.4680343, 1.858568; 0.2058645, 0.4492742, 1.8948
