#objectKey messif.objects.keys.AbstractObjectKey karate-cover-kacka1
131; mcdr.objects.ObjectMocapPose
0.1581711, -0.2480697, 2.078174; 0.1782627, 0.03825955, 2.107051; 0.1967409, 0.3155372, 2.123297; 0.1982441, 0.4448466, 2.134443; 0.01750286, 0.1851956, 2.048163; -0.0367435, 0.03267813, 2.017913; 0.03388723, 0.1635336, 1.90423; 0.08705685, 0.2576012, 1.821683; 0.3275984, 0.1646744, 2.088627; 0.327876, 0.01591601, 2.02335; 0.285598, 0.1654877, 1.919518; 0.260846, 0.2135604, 1.917973; 0.08462441, -0.2393913, 2.03845; 0.02573045, -0.5667253, 1.941346; -0.01119178, -0.9419694, 1.928582; 0.0008821487, -1.017578, 1.828125; 0.2264953, -0.2486068, 2.04971; 0.2441466, -0.626132, 2.071819; 0.2501673, -1.035346, 2.084562; 0.2398682, -1.083008, 1.981445; 0.1923786, 0.2474188, 2.12143; 0.101958, 0.2938521, 1.812214; 0.1014058, 0.3033818, 1.816; 0.2480751, 0.2766678, 1.896302; 0.2348903, 0.2756113, 1.9124
0.1581672, -0.2480774, 2.078167; 0.1782426, 0.03821379, 2.107079; 0.1966896, 0.3154204, 2.123408; 0.1982238, 0.4448354, 2.134462; 0.01755265, 0.1853849, 2.04816; -0.03674806, 0.03279119, 2.017863; 0.03388488, 0.1634089, 1.903852; 0.08762719, 0.2561544, 1.822116; 0.3277493, 0.164496, 2.088862; 0.3278537, 0.01583076, 2.023391; 0.2836775, 0.1774012, 1.943069; 0.26114, 0.236783, 1.89201; 0.08462338, -0.2393853, 2.038445; 0.02587411, -0.5672657, 1.941128; -0.01115183, -0.9415665, 1.928494; 0.00104803, -1.017652, 1.828347; 0.2264795, -0.2486703, 2.049705; 0.244095, -0.6268565, 2.072333; 0.2504725, -1.036648, 2.084876; 0.2398071, -1.083057, 1.981543; 0.1923364, 0.2473225, 2.121515; 0.1017528, 0.2913189, 1.811973; 0.1022136, 0.3017598, 1.8183; 0.2523929, 0.2737667, 1.885484; 0.2390576, 0.2639776, 1.9081
0.1581698, -0.2480659, 2.078168; 0.178268, 0.03820557, 2.107109; 0.1967708, 0.3153598, 2.123501; 0.1982301, 0.4448287, 2.134475; 0.01764715, 0.1855736, 2.048294; -0.03670734, 0.0329855, 2.01773; 0.0469803, 0.1466464, 1.894045; 0.08814592, 0.2576054, 1.818683; 0.327699, 0.1643454, 2.088717; 0.3279415, 0.01592173, 2.023182; 0.2838647, 0.1663036, 1.921464; 0.2611601, 0.237129, 1.888586; 0.08462966, -0.2393055, 2.038481; 0.02619554, -0.5669587, 1.940851; -0.01121575, -0.9410821, 1.928191; 0.001066071, -1.017688, 1.828416; 0.2264818, -0.2486765, 2.0497; 0.2440683, -0.6267533, 2.072307; 0.2503794, -1.038904, 2.084374; 0.239752, -1.083052, 1.981044; 0.1924006, 0.2472784, 2.121589; 0.1021614, 0.2903164, 1.811251; 0.1075719, 0.2966231, 1.81867; 0.2511725, 0.2754425, 1.88413; 0.2397041, 0.2456934, 1.91275
0.1580763, -0.2481634, 2.078162; 0.1782256, 0.03808528, 2.107101; 0.1967758, 0.3152028, 2.123487; 0.1982037, 0.4448194, 2.13447; 0.01768042, 0.1857966, 2.048421; -0.03667999, 0.0333861, 2.017658; 0.0406873, 0.1530624, 1.89572; 0.08768776, 0.2567996, 1.818009; 0.3277327, 0.1642603, 2.088754; 0.3279371, 0.0157454, 2.02325; 0.2821437, 0.1745584, 1.937969; 0.2605974, 0.2401918, 1.887095; 0.08456533, -0.23933, 2.038476; 0.02646559, -0.567506, 1.940282; -0.01120459, -0.9411874, 1.927923; 0.00106461, -1.017721, 1.828478; 0.2263515, -0.2488962, 2.049696; 0.2440847, -0.6264187, 2.072267; 0.2504084, -1.039467, 2.084386; 0.2397704, -1.083049, 1.980915; 0.1923931, 0.2471319, 2.121578; 0.1036521, 0.2903373, 1.81135; 0.1051415, 0.2989816, 1.813295; 0.2529395, 0.2767023, 1.877153; 0.2388561, 0.2555503, 1.904997
0.1580579, -0.2482085, 2.078176; 0.1782253, 0.03806906, 2.107104; 0.1967824, 0.3151991, 2.123485; 0.198122, 0.4448092, 2.134509; 0.01767573, 0.1861118, 2.048654; -0.03666497, 0.03338373, 2.01769; 0.051989, 0.1406974, 1.891641; 0.08809432, 0.2574771, 1.817947; 0.3277519, 0.1642416, 2.088776; 0.3279155, 0.01575388, 2.023178; 0.2821294, 0.1747904, 1.93831; 0.2606744, 0.2385018, 1.88926; 0.08455723, -0.2393352, 2.038475; 0.02707833, -0.5666081, 1.939686; -0.01122267, -0.9412781, 1.927694; 0.001107436, -1.017808, 1.828414; 0.2263232, -0.2490218, 2.049745; 0.244138, -0.6259672, 2.072226; 0.2501329, -1.040404, 2.084402; 0.2397498, -1.082996, 1.980788; 0.1923978, 0.2471264, 2.121577; 0.1038111, 0.2902313, 1.811635; 0.0923569, 0.2939982, 1.8128; 0.25342, 0.2738203, 1.880688; 0.2395459, 0.2535664, 1.911912
0.1580687, -0.2482223, 2.078174; 0.1782455, 0.03803313, 2.1071; 0.1968128, 0.315138, 2.123477; 0.1979648, 0.4447969, 2.134447; 0.01768585, 0.1861437, 2.048666; 0.001531824, 0.03927058, 1.977871; 0.0638775, 0.181048, 1.874595; 0.08817679, 0.2560363, 1.819736; 0.3276562, 0.1641725, 2.088653; 0.3278819, 0.01531522, 2.023634; 0.2823754, 0.1740308, 1.938996; 0.2604631, 0.2387305, 1.888166; 0.08456469, -0.2393357, 2.038466; 0.02728207, -0.5668868, 1.939239; -0.01118901, -0.941252, 1.927658; 0.001118566, -1.017804, 1.828427; 0.2263436, -0.2490634, 2.049757; 0.2441428, -0.6259626, 2.07222; 0.2502134, -1.040909, 2.084617; 0.2415488, -1.082562, 1.982462; 0.1924258, 0.2470715, 2.12157; 0.1001932, 0.2890348, 1.813826; 0.108405, 0.2995408, 1.822667; 0.2520304, 0.2732542, 1.881992; 0.238179, 0.2575073, 1.908485
0.1581285, -0.2482077, 2.078153; 0.1782632, 0.03802626, 2.107093; 0.196815, 0.3151186, 2.123472; 0.1977838, 0.4447846, 2.134386; 0.01769597, 0.1861024, 2.04865; -0.03637068, 0.03173125, 2.018883; 0.04180588, 0.1547681, 1.901554; 0.08838717, 0.254721, 1.81881; 0.3276491, 0.1641835, 2.088673; 0.327837, 0.01526852, 2.023623; 0.2832581, 0.174279, 1.938579; 0.2599273, 0.2396148, 1.889261; 0.08462825, -0.2393315, 2.038426; 0.02744175, -0.5671092, 1.938881; -0.01116122, -0.9411312, 1.92745; 0.00103812, -1.017629, 1.828167; 0.2264057, -0.249034, 2.049753; 0.2441522, -0.6259918, 2.072209; 0.2503542, -1.041743, 2.08434; 0.2420631, -1.082495, 1.983076; 0.1924313, 0.2470565, 2.121565; 0.1023638, 0.2864688, 1.811357; 0.1024325, 0.2931892, 1.814278; 0.2516815, 0.2735073, 1.883715; 0.2382275, 0.2570333, 1.910755
0.1581337, -0.2482325, 2.078162; 0.1782682, 0.03798353, 2.10713; 0.1968169, 0.3150595, 2.123549; 0.1976549, 0.4446838, 2.134444; 0.01770204, 0.1859508, 2.048649; -0.03642917, 0.03196206, 2.018951; 0.04801304, 0.1537736, 1.904753; 0.08933909, 0.2552118, 1.821408; 0.3276368, 0.1641886, 2.088692; 0.3278145, 0.01506746, 2.024084; 0.282904, 0.1745002, 1.939806; 0.2605489, 0.2385473, 1.8928; 0.08463421, -0.2393849, 2.038408; 0.02790528, -0.5662166, 1.938818; -0.01114878, -0.9410522, 1.927362; 0.001246818, -1.017873, 1.828329; 0.2264137, -0.249046, 2.049793; 0.2441772, -0.6260244, 2.072196; 0.2501429, -1.042619, 2.084093; 0.2409717, -1.082578, 1.982335; 0.1924343, 0.2470008, 2.121631; 0.106005, 0.2871232, 1.814936; 0.1120991, 0.2904801, 1.828; 0.2523223, 0.2729864, 1.883483; 0.2402847, 0.244009, 1.9115
0.1581485, -0.2482587, 2.078206; 0.17831, 0.03788912, 2.107208; 0.1968962, 0.3148699, 2.123662; 0.1975037, 0.4445457, 2.134503; 0.01776556, 0.1860351, 2.048719; -0.03635428, 0.0320756, 2.019061; 0.06012491, 0.1360723, 1.896232; 0.08972824, 0.2526588, 1.821593; 0.3276448, 0.1641543, 2.088767; 0.327677, 0.01498011, 2.024096; 0.2831382, 0.1745975, 1.939742; 0.2613461, 0.2377922, 1.891916; 0.08464874, -0.2393869, 2.038451; 0.02811382, -0.5658569, 1.938869; -0.01114833, -0.9400181, 1.926967; 0.001319526, -1.017964, 1.828425; 0.2264295, -0.2490992, 2.049842; 0.2442038, -0.6260965, 2.072266; 0.2500523, -1.042535, 2.084239; 0.2394568, -1.082483, 1.982179; 0.1925035, 0.2468365, 2.121736; 0.1050768, 0.2845986, 1.81817; 0.1007107, 0.2922932, 1.827305; 0.2533596, 0.273469, 1.883512; 0.2401999, 0.2444253, 1.916833
0.1581701, -0.2483202, 2.078281; 0.1783933, 0.03765112, 2.107329; 0.1970765, 0.314359, 2.123825; 0.1974015, 0.444379, 2.134551; 0.01780382, 0.1860225, 2.048764; -0.03627851, 0.03207612, 2.019142; 0.0602059, 0.1359581, 1.896101; 0.09010084, 0.2509679, 1.822411; 0.3276963, 0.1641354, 2.088841; 0.3271034, 0.01530201, 2.023769; 0.2828557, 0.1752228, 1.939728; 0.2613785, 0.2386734, 1.891674; 0.08468883, -0.2392699, 2.038564; 0.02829917, -0.5654052, 1.938823; -0.01118676, -0.9399296, 1.92695; 0.001357601, -1.017949, 1.82849; 0.2264531, -0.2495264, 2.049982; 0.2441859, -0.6260161, 2.072244; 0.2502666, -1.043043, 2.084478; 0.2396088, -1.082613, 1.981862; 0.1926569, 0.2464009, 2.121889; 0.1065539, 0.2846034, 1.818404; 0.1045789, 0.2929016, 1.825101; 0.2528712, 0.2750538, 1.879085; 0.2351824, 0.2708519, 1.919
