#objectKey messif.objects.keys.AbstractObjectKey 01
275; mcdr.objects.ObjectMocapPose
0.4791934, -0.3861323, 2.174282; 0.4939567, -0.05054887, 2.176228; 0.5048829, 0.2746824, 2.163281; 0.4861484, 0.4298114, 2.187474; 0.3289583, 0.1500731, 2.226795; 0.1709926, -0.005615156, 2.257052; 0.08109263, 0.1281302, 2.136885; 0.07130439, 0.217247, 2.062067; 0.6624248, 0.1630989, 2.084055; 0.6791916, -0.03386628, 1.940547; 0.5628947, 0.1504927, 1.893463; 0.5283221, 0.2078502, 1.886775; 0.3944516, -0.3822411, 2.167351; 0.280573, -0.7763187, 2.180681; 0.2164371, -1.217103, 2.303377; 0.153549, -1.269845, 2.185676; 0.5472547, -0.3765458, 2.105312; 0.6684687, -0.7154314, 2.035382; 0.8445137, -1.11577, 2.072852; 0.8217767, -1.172838, 1.941101; 0.502786, 0.1947905, 2.169037; 0.06943047, 0.2508388, 2.021873; 0.1134201, 0.2328347, 2.0145; 0.5045728, 0.2596485, 1.896395; 0.5589684, 0.1617255, 2.008
0.4678857, -0.4104757, 2.177941; 0.4822991, -0.06920741, 2.180939; 0.4928638, 0.2606966, 2.168646; 0.4789237, 0.4158825, 2.193535; 0.3154407, 0.1342807, 2.233672; 0.1378742, -0.007814732, 2.246008; 0.04698756, 0.1613827, 2.105636; 0.04778386, 0.229748, 2.043432; 0.6466097, 0.1238812, 2.088217; 0.6678981, -0.04962252, 1.942698; 0.5472555, 0.1472849, 1.896474; 0.5146989, 0.1711841, 1.893388; 0.3847112, -0.4008473, 2.170472; 0.2672449, -0.8038355, 2.183918; 0.2161868, -1.222185, 2.303602; 0.1541587, -1.277369, 2.186552; 0.5346147, -0.4064102, 2.109001; 0.665745, -0.7308461, 2.038931; 0.8444293, -1.119337, 2.076818; 0.8233063, -1.177359, 1.944859; 0.4908624, 0.1797242, 2.174278; 0.05505023, 0.2662977, 2.011288; 0.08999643, 0.2388824, 2.005631; 0.4843923, 0.2223967, 1.899356; 0.4891083, 0.2069458, 1.9326
0.4472809, -0.4411702, 2.182452; 0.4585823, -0.1000593, 2.189146; 0.4662561, 0.2309413, 2.180617; 0.4592593, 0.3884388, 2.205579; 0.2804329, 0.1001222, 2.24312; 0.06486431, -0.009433472, 2.203114; 0.04050228, 0.1649596, 2.092146; 0.03803457, 0.2371955, 2.030227; 0.6412675, 0.1215618, 2.096348; 0.6454024, -0.07924431, 1.952383; 0.4994332, 0.1317227, 1.902744; 0.4876069, 0.146413, 1.898794; 0.3590114, -0.441823, 2.175752; 0.261774, -0.8122816, 2.183531; 0.2174352, -1.225521, 2.302052; 0.1580468, -1.282752, 2.184252; 0.5194865, -0.4265949, 2.112568; 0.65971, -0.7485741, 2.044851; 0.8449497, -1.126499, 2.085203; 0.8289292, -1.18494, 1.95263; 0.4649333, 0.1495736, 2.185324; 0.05218309, 0.2752983, 2.001163; 0.08495642, 0.2307329, 2.0231; 0.467225, 0.192776, 1.907069; 0.5023274, 0.1537128, 1.9026
0.4352151, -0.4529791, 2.185373; 0.4455294, -0.1111144, 2.194679; 0.4520653, 0.2204768, 2.188843; 0.4429929, 0.3762528, 2.213928; 0.2672031, 0.08991157, 2.245592; 0.03101891, -0.007394721, 2.178538; 0.03911977, 0.175058, 2.076605; 0.0443036, 0.2401644, 2.023342; 0.6117108, 0.1104705, 2.119059; 0.6252604, -0.09960365, 1.969554; 0.4914928, 0.07964806, 1.918974; 0.4614483, 0.1199783, 1.909691; 0.3480326, -0.4514216, 2.17915; 0.2526552, -0.8231406, 2.185311; 0.2162023, -1.227255, 2.300715; 0.1619564, -1.2865, 2.182067; 0.5074772, -0.43891, 2.114697; 0.6451579, -0.7561611, 2.051713; 0.844425, -1.132183, 2.089545; 0.8347172, -1.187347, 1.955072; 0.451028, 0.1389656, 2.19287; 0.06004404, 0.2789395, 1.998683; 0.09138166, 0.2312261, 2.030429; 0.4399192, 0.1629951, 1.920406; 0.4803005, 0.1304758, 1.917
0.4202914, -0.4527111, 2.190503; 0.4314893, -0.1113986, 2.200877; 0.43929, 0.2197228, 2.195801; 0.4225825, 0.3748375, 2.220763; 0.2463067, 0.08461095, 2.248096; 0.02664534, -0.01005108, 2.17304; 0.04201075, 0.1783379, 2.069627; 0.06105944, 0.2411791, 2.022436; 0.602222, 0.1085888, 2.123341; 0.612232, -0.1426674, 1.986719; 0.4813939, 0.04931056, 1.926274; 0.4381667, 0.1009079, 1.916896; 0.3329451, -0.4506071, 2.183004; 0.2444599, -0.8263401, 2.185994; 0.2135616, -1.227744, 2.299582; 0.161849, -1.288245, 2.180261; 0.4927821, -0.4390473, 2.121138; 0.6296294, -0.7577563, 2.057889; 0.8404912, -1.132051, 2.091716; 0.834261, -1.184942, 1.955486; 0.4378966, 0.1383218, 2.199674; 0.07365712, 0.277822, 1.998549; 0.1061967, 0.2318818, 2.0283; 0.4166554, 0.1457181, 1.930405; 0.4512772, 0.1236452, 1.9322
0.4037645, -0.4437818, 2.197498; 0.4155993, -0.1034258, 2.206705; 0.4241593, 0.2267774, 2.20049; 0.3965725, 0.3843324, 2.226499; 0.2285426, 0.09065726, 2.251306; 0.02415701, -0.01625768, 2.169842; 0.04762288, 0.176309, 2.071338; 0.08274909, 0.2401313, 2.028744; 0.5695864, 0.1155734, 2.124447; 0.6054232, -0.1509023, 2.019068; 0.4727936, 0.03430128, 1.93083; 0.417931, 0.08841152, 1.92406; 0.3171602, -0.4415394, 2.188571; 0.237156, -0.8235658, 2.187952; 0.2131637, -1.229679, 2.300436; 0.1630329, -1.286517, 2.185147; 0.4761685, -0.4305063, 2.129404; 0.6170559, -0.7532722, 2.059305; 0.8298576, -1.131016, 2.091374; 0.8214331, -1.181392, 1.960062; 0.422558, 0.1456069, 2.204646; 0.101563, 0.2767176, 2.00612; 0.1280024, 0.23137, 2.040875; 0.3919347, 0.1333843, 1.925829; 0.4151636, 0.1302972, 1.926273
0.3925959, -0.4315675, 2.201946; 0.400914, -0.08889511, 2.210308; 0.4055988, 0.2437382, 2.20294; 0.3717239, 0.4005142, 2.228961; 0.2105163, 0.09955439, 2.253905; 0.02577353, -0.02737112, 2.170758; 0.06523799, 0.1741769, 2.076833; 0.1029314, 0.2357917, 2.039217; 0.5640613, 0.1193549, 2.124613; 0.5986627, -0.152399, 2.028312; 0.4521166, 0.0355529, 1.938414; 0.3962149, 0.09356347, 1.928301; 0.3060264, -0.4288661, 2.191988; 0.2336609, -0.8169755, 2.189178; 0.2124875, -1.232355, 2.302309; 0.1636115, -1.289737, 2.185296; 0.4653598, -0.4190923, 2.134601; 0.6037986, -0.7443981, 2.055739; 0.8036395, -1.12198, 2.083807; 0.7926496, -1.171704, 1.950561; 0.4049855, 0.1619637, 2.207415; 0.121904, 0.2727596, 2.012731; 0.1476806, 0.2305154, 2.049643; 0.3694577, 0.1417906, 1.931643; 0.4091945, 0.04913543, 2.008667
0.3854392, -0.4186362, 2.205641; 0.3887862, -0.07263447, 2.213382; 0.38809, 0.2632043, 2.205198; 0.3517927, 0.4166059, 2.230412; 0.2009649, 0.1105243, 2.25273; 0.03257986, -0.0392714, 2.176486; 0.08336356, 0.1734566, 2.085256; 0.1193902, 0.2334645, 2.054655; 0.5402493, 0.1578283, 2.12862; 0.6011191, -0.1163243, 2.049904; 0.4448757, 0.04086851, 1.941349; 0.3846542, 0.1026761, 1.931764; 0.2999009, -0.4198549, 2.194258; 0.2325782, -0.8124291, 2.191101; 0.2123757, -1.231537, 2.302856; 0.1646811, -1.285393, 2.188259; 0.4574166, -0.4019768, 2.139712; 0.5880174, -0.7249252, 2.04836; 0.7635853, -1.113163, 2.076456; 0.7462239, -1.160984, 1.947077; 0.3888264, 0.1806685, 2.209891; 0.137417, 0.2687404, 2.030174; 0.1672908, 0.2286031, 2.062417; 0.3515715, 0.1448338, 1.926727; 0.3891256, 0.1175462, 1.953667
0.3795228, -0.3919568, 2.210043; 0.3782669, -0.05342499, 2.216083; 0.3742284, 0.2765956, 2.206899; 0.3332686, 0.428719, 2.231981; 0.1927498, 0.1219445, 2.247878; 0.05561372, -0.03834972, 2.196071; 0.08827351, 0.1708877, 2.093185; 0.1236991, 0.2301037, 2.074573; 0.5329971, 0.1682987, 2.127758; 0.5783001, -0.1057567, 2.036671; 0.4351455, 0.1043203, 1.963486; 0.3738789, 0.1231682, 1.932258; 0.2937918, -0.3966683, 2.197991; 0.2322825, -0.8133322, 2.196054; 0.2120122, -1.231822, 2.304449; 0.1669726, -1.283078, 2.190853; 0.4521037, -0.3735982, 2.144357; 0.574653, -0.7076201, 2.043267; 0.747229, -1.109823, 2.073811; 0.7294859, -1.155534, 1.946958; 0.3757456, 0.1953873, 2.211791; 0.1454153, 0.2674995, 2.051718; 0.1668124, 0.2230808, 2.074563; 0.3395804, 0.1575469, 1.926373; 0.3937798, 0.09831964, 2.019
0.3790635, -0.3901295, 2.210689; 0.3741233, -0.04873208, 2.217238; 0.3637294, 0.2842883, 2.208481; 0.3185045, 0.4344624, 2.233101; 0.1866491, 0.1273099, 2.243677; 0.05947547, -0.04113406, 2.199295; 0.08469959, 0.1636159, 2.108265; 0.115104, 0.2263336, 2.090504; 0.5272785, 0.1737103, 2.126697; 0.5940452, -0.08366492, 2.028201; 0.4329035, 0.1023915, 1.958404; 0.3707272, 0.1400427, 1.927561; 0.2925958, -0.3947178, 2.198768; 0.2324959, -0.817539, 2.205235; 0.210917, -1.234921, 2.306433; 0.1663592, -1.285381, 2.190046; 0.4522419, -0.371733, 2.14489; 0.5665683, -0.6988008, 2.039122; 0.7309934, -1.107899, 2.070509; 0.7120851, -1.153977, 1.942335; 0.3670134, 0.2023781, 2.213278; 0.1340911, 0.2640715, 2.065313; 0.1589263, 0.2192057, 2.0944; 0.3351399, 0.1746777, 1.921578; 0.3284349, 0.1903134, 1.93775
