#objectKey messif.objects.keys.AbstractObjectKey karate-kata-user-4-1
449; mcdr.objects.ObjectMocapPose
0.2994572, 0.002095109, 2.074189; 0.2949211, 0.3362187, 2.061735; 0.2886036, 0.6561677, 2.036; 0.2653411, 0.8176639, 2.023487; 0.1380529, 0.5343429, 2.149618; 0.07150871, 0.3098755, 2.155205; 0.01728319, 0.4241738, 1.999641; 0.01962771, 0.5027473, 1.931559; 0.4504487, 0.5475328, 1.968834; 0.4690457, 0.3479569, 1.843399; 0.354985, 0.5030667, 1.820626; 0.304176, 0.5752782, 1.831087; 0.2219782, -0.0008821639, 2.06728; 0.1578844, -0.4142301, 2.097004; 0.08197295, -0.7907068, 2.1592; 0.02144952, -0.8747581, 2.093024; 0.3657096, 0.004984196, 2.002776; 0.4817681, -0.3789704, 1.975532; 0.580762, -0.7968788, 2.013032; 0.579955, -0.8683652, 1.93343; 0.2904929, 0.5781298, 2.044705; 0.02195697, 0.5368786, 1.899715; 0.06954072, 0.5160652, 1.93175; 0.2672201, 0.6229337, 1.849002; 0.3222327, 0.5636705, 1.833
0.2994184, 0.001992522, 2.073919; 0.2949117, 0.3361764, 2.061677; 0.2885984, 0.6561403, 2.036032; 0.2653065, 0.8175792, 2.02348; 0.1381106, 0.5341809, 2.149421; 0.0457528, 0.2796899, 2.133234; 0.02235435, 0.4345942, 1.990049; 0.01891877, 0.497394, 1.938025; 0.4504444, 0.5475272, 1.968806; 0.4688862, 0.3480556, 1.8434; 0.3516536, 0.5097937, 1.822209; 0.299474, 0.5794533, 1.832417; 0.2219477, -0.000969155, 2.067168; 0.1572233, -0.4155278, 2.096414; 0.0819401, -0.7926323, 2.159376; 0.02101699, -0.8750461, 2.090988; 0.3656633, 0.004888659, 2.002257; 0.481591, -0.3788311, 1.975353; 0.5806143, -0.7979499, 2.012453; 0.5795752, -0.8686718, 1.931969; 0.2904875, 0.5781041, 2.044721; 0.02557189, 0.5405225, 1.900185; 0.06966772, 0.5170177, 1.93525; 0.2652496, 0.6226931, 1.852438; 0.2832433, 0.5742146, 1.856889
0.2993143, 0.001719469, 2.073582; 0.294825, 0.3360316, 2.06162; 0.2885046, 0.6559392, 2.036258; 0.2651991, 0.8175573, 2.023436; 0.1380994, 0.5341651, 2.149374; 0.04548144, 0.2717046, 2.141609; 0.02073238, 0.4357518, 1.99202; 0.01951007, 0.4965507, 1.939221; 0.4504465, 0.5475407, 1.968708; 0.4686288, 0.3483541, 1.84299; 0.3495615, 0.5129282, 1.822613; 0.2985075, 0.58073, 1.832868; 0.2218625, -0.001232981, 2.066838; 0.1562746, -0.4162341, 2.095711; 0.08184573, -0.7938831, 2.159495; 0.01962094, -0.8750415, 2.088292; 0.3655421, 0.004618951, 2.00192; 0.4809512, -0.3782665, 1.974771; 0.5807258, -0.804063, 2.010378; 0.582153, -0.8854548, 1.898125; 0.2903976, 0.5779324, 2.04485; 0.02631457, 0.5376518, 1.897568; 0.07120379, 0.5166202, 1.940909; 0.2664571, 0.6238449, 1.849781; 0.2868042, 0.5618726, 1.856
0.2991209, 0.001338367, 2.07308; 0.2947672, 0.3359276, 2.061429; 0.288506, 0.655954, 2.036233; 0.2650519, 0.8174394, 2.023482; 0.1379782, 0.5341895, 2.14924; 0.04526255, 0.2671144, 2.144919; 0.0200821, 0.4360491, 1.993322; 0.01912827, 0.4957572, 1.936403; 0.4505584, 0.5475786, 1.96869; 0.46825, 0.3489089, 1.841966; 0.3477629, 0.5152596, 1.822358; 0.3025118, 0.5750235, 1.830354; 0.2216334, -0.001612746, 2.066329; 0.1553308, -0.4170704, 2.094634; 0.08152527, -0.7946633, 2.159093; 0.01951614, -0.875412, 2.087168; 0.3653819, 0.004247712, 2.001425; 0.4806421, -0.3786677, 1.974288; 0.5806651, -0.8125334, 2.009911; 0.5817086, -0.886512, 1.897673; 0.2903922, 0.577933, 2.044806; 0.02440646, 0.5359206, 1.896414; 0.06928792, 0.5179912, 1.933159; 0.2645872, 0.6212018, 1.845572; 0.2610411, 0.5862275, 1.868667
0.2988463, 0.001090364, 2.072962; 0.2946122, 0.3358911, 2.061372; 0.288412, 0.6560546, 2.036224; 0.2648283, 0.8174814, 2.023634; 0.1377285, 0.5339217, 2.148894; 0.04567316, 0.2634096, 2.150291; 0.01839552, 0.4378816, 1.996559; 0.01842036, 0.4962183, 1.93774; 0.4505146, 0.5476873, 1.968628; 0.4675899, 0.3495838, 1.84149; 0.3461446, 0.5173382, 1.82177; 0.3025959, 0.575453, 1.830342; 0.2213093, -0.002063288, 2.066198; 0.1548517, -0.4169882, 2.094073; 0.08131377, -0.7948733, 2.158883; 0.0170976, -0.876079, 2.081079; 0.3651246, 0.004170777, 2.001311; 0.4806387, -0.3808899, 1.973919; 0.5805787, -0.8136706, 2.009974; 0.583159, -0.8859537, 1.875749; 0.2902901, 0.5780028, 2.044793; 0.02807294, 0.5400727, 1.898991; 0.0663299, 0.5123671, 1.927008; 0.2584227, 0.6210033, 1.851319; 0.269948, 0.599875, 1.86175
0.2984556, 0.001032523, 2.072994; 0.2944913, 0.3359034, 2.061347; 0.2884117, 0.6561266, 2.036179; 0.264535, 0.8175946, 2.024001; 0.1374736, 0.5338226, 2.148485; 0.04549114, 0.2616712, 2.152474; 0.01901706, 0.434895, 1.995271; 0.01701521, 0.4954531, 1.938311; 0.4504262, 0.5478342, 1.968475; 0.4669339, 0.3504494, 1.840624; 0.344896, 0.5193462, 1.821623; 0.3027332, 0.5762151, 1.832384; 0.2208243, -0.002318517, 2.066436; 0.1545857, -0.4169974, 2.093848; 0.0812069, -0.7954936, 2.15905; 0.01700686, -0.8764558, 2.080909; 0.3647299, 0.004272981, 2.001173; 0.480644, -0.3817186, 1.974038; 0.5805344, -0.8142085, 2.009826; 0.5826963, -0.8876891, 1.887788; 0.2902686, 0.5780539, 2.044758; 0.02133511, 0.5382342, 1.9021; 0.0698642, 0.5177942, 1.939275; 0.2611428, 0.6247895, 1.852979; 0.2795811, 0.5770134, 1.8875
0.29815, 0.0009509111, 2.073056; 0.2942883, 0.3358982, 2.06122; 0.2882859, 0.6562622, 2.035786; 0.2639623, 0.8178843, 2.024352; 0.1372068, 0.5334932, 2.147259; 0.04730948, 0.2596899, 2.156154; 0.01866477, 0.4319761, 1.99452; 0.01507273, 0.4920554, 1.937824; 0.4507131, 0.547794, 1.968444; 0.4662358, 0.3512335, 1.839262; 0.3436205, 0.520941, 1.821289; 0.3014002, 0.5749198, 1.829964; 0.2203967, -0.002528756, 2.066632; 0.1544322, -0.4171196, 2.093798; 0.08102928, -0.7969357, 2.158962; 0.01671906, -0.8766803, 2.080649; 0.3645195, 0.00428581, 2.001137; 0.4804953, -0.3815383, 1.974124; 0.5803993, -0.8162015, 2.009241; 0.5835159, -0.8904482, 1.886003; 0.2901163, 0.5781417, 2.044448; 0.01801667, 0.5318347, 1.899877; 0.06415761, 0.51169, 1.929416; 0.2621563, 0.6235216, 1.84549; 0.2939582, 0.5869682, 1.8498
0.2978107, 0.0009083244, 2.073253; 0.293972, 0.3359704, 2.061228; 0.2879567, 0.6565153, 2.035643; 0.262901, 0.8179625, 2.024457; 0.1369197, 0.5338033, 2.146909; 0.05056139, 0.2580874, 2.159618; 0.01801204, 0.4294411, 1.994764; 0.01138437, 0.4894884, 1.937359; 0.450718, 0.5476603, 1.968306; 0.465803, 0.3518174, 1.838125; 0.3291885, 0.5288188, 1.824891; 0.2967726, 0.5785732, 1.830685; 0.2200163, -0.002637932, 2.066893; 0.1543386, -0.4173849, 2.093874; 0.08091661, -0.7969697, 2.158881; 0.01644243, -0.876939, 2.079416; 0.3642543, 0.00430783, 2.001257; 0.4803839, -0.3812317, 1.974602; 0.5805754, -0.8166015, 2.009354; 0.5829797, -0.890189, 1.892617; 0.2897935, 0.5783404, 2.044345; 0.01791805, 0.5294704, 1.902509; 0.05874095, 0.5046716, 1.93; 0.2582501, 0.6252933, 1.85025; 0.3091499, 0.604035, 1.838917
0.2975263, 0.0008513319, 2.07347; 0.2936678, 0.3359951, 2.061238; 0.2875896, 0.6566717, 2.035458; 0.2608624, 0.8181094, 2.024702; 0.1366538, 0.5337412, 2.14665; 0.05424807, 0.256213, 2.162298; 0.01601246, 0.4251585, 1.996122; 0.007752777, 0.4833272, 1.939973; 0.4500752, 0.547678, 1.967656; 0.4649826, 0.3524603, 1.837467; 0.3381593, 0.5210255, 1.820417; 0.2958843, 0.5775063, 1.828822; 0.2197418, -0.002766981, 2.067124; 0.1544562, -0.4169623, 2.093811; 0.08092521, -0.797221, 2.159307; 0.01641498, -0.8770205, 2.081145; 0.3639875, 0.004333975, 2.001441; 0.4804862, -0.3811769, 1.975311; 0.5807406, -0.8176326, 2.009254; 0.5826492, -0.8904707, 1.893445; 0.289444, 0.578458, 2.044213; 0.01318717, 0.5226445, 1.903136; 0.0610664, 0.5036217, 1.954; 0.2557472, 0.6236874, 1.851392; 0.2944587, 0.5623116, 1.856375
0.2973298, 0.0008937023, 2.07365; 0.2933388, 0.3360464, 2.061257; 0.2871029, 0.6567729, 2.035275; 0.2573318, 0.8180655, 2.024523; 0.1349153, 0.5329549, 2.14596; 0.05886544, 0.2537753, 2.165397; 0.01443056, 0.4218225, 1.997084; 0.003171684, 0.4782661, 1.940361; 0.4500892, 0.5476599, 1.967611; 0.4644234, 0.3529978, 1.83683; 0.3375388, 0.5221002, 1.819135; 0.2936877, 0.5770006, 1.827726; 0.2194767, -0.002779586, 2.067321; 0.1543838, -0.4163699, 2.093529; 0.08094916, -0.7972669, 2.1593; 0.01589913, -0.8762806, 2.079062; 0.3638659, 0.004432641, 2.001592; 0.480816, -0.3823096, 1.975908; 0.5807444, -0.8178347, 2.009449; 0.5835897, -0.8880493, 1.867516; 0.2889957, 0.5785451, 2.044084; 0.004238828, 0.5152119, 1.9068; 0.05345822, 0.4971307, 1.9472; 0.2571856, 0.6246101, 1.844235; 0.2756382, 0.5739944, 1.873889
