#objectKey messif.objects.keys.AbstractObjectKey karate-kata-user-3-1
297; mcdr.objects.ObjectMocapPose
0.1143265, 0.02291208, 2.112881; 0.1025208, 0.3347619, 2.044581; 0.09035108, 0.634281, 1.963706; 0.09842144, 0.7806485, 1.897449; -0.0613346, 0.5127636, 1.931585; -0.1515617, 0.2655441, 1.888425; -0.1127549, 0.21904, 1.677039; -0.06074647, 0.2421144, 1.583982; 0.2650572, 0.5496555, 2.05031; 0.3331668, 0.3445868, 2.137034; 0.3924672, 0.3264236, 1.926733; 0.3663596, 0.3642703, 1.82071; 0.03755449, 0.01384577, 2.055288; -0.02330313, -0.4299036, 1.941823; -0.07829487, -0.8175947, 1.97693; -0.06137085, -0.8847656, 1.882813; 0.1869882, 0.03116135, 2.095955; 0.2012156, -0.441352, 2.205513; 0.1860813, -0.8087477, 2.333079; 0.2275391, -0.8808594, 2.275391; 0.09346483, 0.5611988, 1.986093; -0.05110063, 0.2457005, 1.564586; -0.01741241, 0.2509869, 1.581154; 0.3651641, 0.3712232, 1.79797; 0.3316262, 0.3763118, 1.82215
0.126099, 0.02846295, 2.120876; 0.1129747, 0.3377838, 2.05424; 0.09972224, 0.6350052, 1.975342; 0.1098434, 0.7823237, 1.911766; -0.05372358, 0.5124893, 1.943473; -0.1400898, 0.2638814, 1.899548; -0.1340837, 0.2022998, 1.695612; -0.09141661, 0.2288315, 1.615025; 0.2751934, 0.5458919, 2.067003; 0.3591624, 0.3157345, 2.12496; 0.3800153, 0.3413334, 1.914863; 0.3722543, 0.3599443, 1.837403; 0.04969309, 0.02027078, 2.064581; -0.02002386, -0.4295206, 1.942064; -0.07823659, -0.8182909, 1.97745; -0.06130198, -0.8847564, 1.882634; 0.1980394, 0.03571394, 2.103028; 0.2053242, -0.4388215, 2.208992; 0.1867091, -0.8097372, 2.335896; 0.2279226, -0.8812136, 2.276414; 0.1030934, 0.5624757, 1.997202; -0.08134406, 0.2299129, 1.594132; -0.04627942, 0.2358609, 1.6165; 0.3678375, 0.3722752, 1.813461; 0.3368059, 0.3710505, 1.833722
0.1436922, 0.02605768, 2.134338; 0.1299252, 0.3362792, 2.07088; 0.1157733, 0.6345072, 1.995377; 0.1309594, 0.7826768, 1.934813; -0.03667851, 0.5111126, 1.963766; -0.1172176, 0.3313255, 1.990622; -0.09963035, 0.253031, 1.72728; -0.1019481, 0.2232809, 1.650589; 0.2868597, 0.5442457, 2.087939; 0.3635996, 0.3078462, 2.133954; 0.3821691, 0.3402643, 1.931275; 0.3730693, 0.3608928, 1.866286; 0.06645498, 0.01778154, 2.076983; -0.006344222, -0.4256127, 1.941656; -0.07814896, -0.8198674, 1.978112; -0.06057005, -0.8847221, 1.880903; 0.2158755, 0.03342849, 2.117654; 0.2170495, -0.4448901, 2.218984; 0.1868806, -0.8121703, 2.336711; 0.2280578, -0.8824529, 2.276879; 0.1194005, 0.5616997, 2.016374; -0.1079823, 0.2063964, 1.633232; -0.06079584, 0.2293037, 1.638842; 0.370873, 0.3719408, 1.844184; 0.337487, 0.3747313, 1.864588
0.1601373, 0.02619786, 2.147557; 0.1451432, 0.3355816, 2.085876; 0.1297388, 0.6332077, 2.011944; 0.1495031, 0.780995, 1.952765; -0.02111214, 0.5087053, 1.980774; -0.1043364, 0.327395, 2.015802; -0.09654762, 0.2512909, 1.752048; -0.09599355, 0.2168393, 1.67894; 0.298537, 0.5406238, 2.11297; 0.3641979, 0.2913401, 2.159997; 0.3846635, 0.3366164, 1.960667; 0.375702, 0.3556887, 1.897756; 0.08375684, 0.01809654, 2.08965; 0.01779553, -0.4114936, 1.935811; -0.07504063, -0.8165336, 1.974653; -0.05837328, -0.8830841, 1.877937; 0.230944, 0.03337038, 2.131477; 0.2272718, -0.4492738, 2.223848; 0.1872496, -0.8128794, 2.336898; 0.2280299, -0.8830351, 2.277111; 0.1336815, 0.560519, 2.03257; -0.101503, 0.1991971, 1.662928; -0.05414823, 0.2228517, 1.666941; 0.3703278, 0.3684789, 1.872644; 0.3409542, 0.3737403, 1.894546
0.1682034, 0.02950361, 2.155408; 0.1533066, 0.3369552, 2.095041; 0.1380389, 0.6325061, 2.022616; 0.164456, 0.7799853, 1.966111; -0.01033134, 0.5074006, 1.991606; -0.0993957, 0.3220083, 2.031452; -0.08323177, 0.2261589, 1.770416; -0.0797238, 0.2098702, 1.694718; 0.3057477, 0.5369549, 2.128188; 0.3578893, 0.2787847, 2.17903; 0.3861689, 0.3273098, 1.978472; 0.3822512, 0.3391159, 1.922874; 0.09203131, 0.02174986, 2.096573; 0.03092481, -0.4070728, 1.918303; -0.07657262, -0.8166627, 1.967421; -0.05760563, -0.8796077, 1.873856; 0.2385891, 0.03623882, 2.140508; 0.2342486, -0.45123, 2.224614; 0.1882278, -0.8140799, 2.336312; 0.2281377, -0.8834234, 2.276955; 0.1419507, 0.5603487, 2.04285; -0.08310663, 0.1928772, 1.677677; -0.03886817, 0.217911, 1.688471; 0.3771816, 0.354616, 1.899303; 0.3420011, 0.3505524, 1.918091
0.170688, 0.02782688, 2.157853; 0.157222, 0.3358929, 2.099748; 0.1435413, 0.6324868, 2.03002; 0.1723638, 0.7805519, 1.973053; -0.00284581, 0.5066503, 1.996997; -0.1094018, 0.3057603, 2.028487; -0.07449901, 0.2165021, 1.763573; -0.05970852, 0.2052851, 1.697379; 0.3083471, 0.5338961, 2.135881; 0.3520834, 0.2746156, 2.196277; 0.3905105, 0.3125202, 1.992657; 0.38458, 0.3181252, 1.943923; 0.09425223, 0.02375664, 2.098409; 0.03665046, -0.4045233, 1.898563; -0.07948069, -0.8074009, 1.950229; -0.05440396, -0.8755422, 1.865085; 0.242367, 0.0282646, 2.144974; 0.2376072, -0.4554992, 2.224137; 0.1887234, -0.8157753, 2.335709; 0.2286102, -0.883536, 2.276021; 0.1470561, 0.5600227, 2.049555; -0.0564032, 0.1881052, 1.679401; -0.01714126, 0.2074233, 1.691286; 0.38244, 0.3311321, 1.919263; 0.3478458, 0.3318174, 1.937533
0.1711757, 0.02701876, 2.158262; 0.1580111, 0.3357132, 2.100654; 0.1444013, 0.6326886, 2.031038; 0.1750749, 0.7812623, 1.975525; -0.0009566982, 0.5069072, 1.996608; -0.1042422, 0.3059491, 2.019767; -0.07374798, 0.2138815, 1.757578; -0.0463806, 0.2055086, 1.686152; 0.307971, 0.5327007, 2.138247; 0.341997, 0.2791347, 2.219686; 0.3937665, 0.2940296, 2.014596; 0.3894332, 0.3089631, 1.955781; 0.09526618, 0.02474826, 2.098683; 0.0336909, -0.3999121, 1.889899; -0.07944769, -0.8074885, 1.93675; -0.04235515, -0.8750791, 1.846015; 0.2416484, 0.02563997, 2.144927; 0.2382252, -0.4563583, 2.223299; 0.1890923, -0.8168125, 2.335232; 0.2290052, -0.8841419, 2.275995; 0.1478854, 0.5601255, 2.050559; -0.04841886, 0.1896732, 1.667508; -0.003449677, 0.2036402, 1.682188; 0.3850424, 0.3193114, 1.930563; 0.3484245, 0.3231363, 1.974462
0.1682697, 0.02353995, 2.152783; 0.1555268, 0.3341397, 2.095366; 0.1419445, 0.6326835, 2.025215; 0.174958, 0.7817749, 1.974565; -0.001996999, 0.5051231, 1.984399; -0.1154561, 0.2981814, 1.993791; -0.07633139, 0.2147569, 1.742048; -0.0506941, 0.1986232, 1.659017; 0.3026249, 0.5313553, 2.13738; 0.3360647, 0.2802127, 2.225658; 0.3926276, 0.2946802, 2.020706; 0.3973781, 0.3113499, 1.95695; 0.09439442, 0.02370317, 2.093039; 0.02872202, -0.3990266, 1.891864; -0.07673338, -0.8128419, 1.935126; -0.03872993, -0.8782396, 1.84392; 0.2359584, 0.02065152, 2.13895; 0.2371883, -0.4585907, 2.219201; 0.1891058, -0.8162429, 2.334999; 0.2286773, -0.8843133, 2.276159; 0.1454643, 0.5597501, 2.044947; -0.04753776, 0.1919445, 1.64053; -0.009401084, 0.2009191, 1.649; 0.3917714, 0.3190863, 1.927813; 0.3536611, 0.3224307, 1.966024
0.1583016, 0.01705728, 2.139785; 0.1443713, 0.3307961, 2.078544; 0.1297241, 0.63274, 2.004177; 0.1694993, 0.7814815, 1.961071; -0.009674597, 0.5023157, 1.959807; -0.1242524, 0.2970193, 1.95195; -0.1196382, 0.2023262, 1.7595; -0.05719916, 0.1879722, 1.619329; 0.2881735, 0.5261194, 2.127954; 0.3210738, 0.2777907, 2.225955; 0.3943802, 0.2964987, 2.026054; 0.406224, 0.3163741, 1.955446; 0.08736844, 0.0179891, 2.077832; 0.01601065, -0.4186202, 1.899709; -0.07463998, -0.8172919, 1.936085; -0.03663183, -0.881164, 1.842985; 0.2234829, 0.01486519, 2.127794; 0.2325953, -0.4597136, 2.210414; 0.1888353, -0.8163817, 2.334318; 0.2284024, -0.8844296, 2.275898; 0.1334978, 0.5589682, 2.024983; -0.05090311, 0.1831813, 1.600836; -0.01325696, 0.1857782, 1.618688; 0.4143509, 0.321496, 1.927443; 0.3672156, 0.3335474, 1.973632
0.1421404, 0.01696142, 2.127525; 0.1291109, 0.330503, 2.060238; 0.1156264, 0.6318437, 1.979346; 0.156829, 0.7789204, 1.93078; -0.02312378, 0.5023798, 1.931688; -0.1389005, 0.3045289, 1.921947; -0.1257098, 0.2051686, 1.731522; -0.06060996, 0.1965834, 1.583979; 0.2700448, 0.5280203, 2.108244; 0.2944506, 0.2792023, 2.209702; 0.393219, 0.3032665, 2.021571; 0.4045014, 0.3230103, 1.945589; 0.07294397, 0.01753157, 2.064224; 0.001709125, -0.4379176, 1.900976; -0.07489496, -0.8187796, 1.936509; -0.03626082, -0.8825836, 1.843141; 0.2061245, 0.01561108, 2.116586; 0.2234983, -0.4597759, 2.202367; 0.1878604, -0.8149322, 2.333473; 0.2288957, -0.884899, 2.275472; 0.1190751, 0.5582891, 2.001823; -0.05639637, 0.1910344, 1.564967; -0.01381387, 0.1955046, 1.5817; 0.4172737, 0.3260707, 1.911326; 0.400295, 0.3582963, 1.930539
